"Journal Data Filtered By:  Selected Categories: BIOLOGY;CELL BIOLOGY;BIOCHEMISTRY & MOLECULAR BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","NATURE PORTFOLIO","1471-0072","1471-0080","CELL BIOLOGY","SCIE","83,533","118","Q1","7.35","1.43"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","88,969","81.2","Q1","6.13","100"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","CELL BIOLOGY","SCIE","88,969","81.2","Q1","6.13","100"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","CELL BIOLOGY","SCIE","64,398","56.1","Q1","8.22","41.76"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","154,284","52.5","Q1","9.88","61.4"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","CELL BIOLOGY","SCIE","154,284","52.5","Q1","9.88","61.4"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","329,596","45.1","Q1","6.92","44.27"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","CELL BIOLOGY","SCIE","329,596","45.1","Q1","6.92","44.27"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","53,231","42.2","Q1","5.07","100"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","CELL BIOLOGY","SCIE","73,683","37","Q1","6.01","30.97"%,
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","32,597","32.7","Q1","4.84","23.99"%,
"CELL RESEARCH","CELL RES","SPRINGERNATURE","1001-0602","1748-7838","CELL BIOLOGY","SCIE","30,501","31.1","Q1","3.16","64.74"%,
"TRENDS IN CELL BIOLOGY","TRENDS CELL BIOL","CELL PRESS","0962-8924","1879-3088","CELL BIOLOGY","SCIE","21,812","25.3","Q1","1.64","26.76"%,
"Nature Aging","NATURE AGING","SPRINGERNATURE","N/A","2662-8465","CELL BIOLOGY","SCIE","10,875","25","Q1","4.66","44.81"%,
"Annual Review of Biochemistry","ANNU REV BIOCHEM","ANNUAL REVIEWS","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","21,229","24.9","Q1","1.95","100"%,
"Cell Stem Cell","CELL STEM CELL","CELL PRESS","1934-5909","1875-9777","CELL BIOLOGY","SCIE","33,534","23.3","Q1","4.08","39.48"%,
"NATURE CELL BIOLOGY","NAT CELL BIOL","NATURE PORTFOLIO","1465-7392","1476-4679","CELL BIOLOGY","SCIE","50,742","22.7","Q1","3.09","47.05"%,
"Journal of Extracellular Vesicles","J EXTRACELL VESICLES","WILEY","N/A","2001-3078","CELL BIOLOGY","SCIE","19,056","21.7","Q1","2.83","100"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","CELL PRESS","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","21,555","18.7","Q1","1.65","33.06"%,
"Autophagy","AUTOPHAGY","TAYLOR & FRANCIS INC","1554-8627","1554-8635","CELL BIOLOGY","SCIE","34,458","18.6","Q1","1.78","22.94"%,
"Protein & Cell","PROTEIN CELL","OXFORD UNIV PRESS","1674-800X","1674-8018","CELL BIOLOGY","SCIE","9,917","18.2","Q1","1.5","100"%,
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","PERGAMON-ELSEVIER SCIENCE LTD","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","8,950","18.1","Q1","1.75","50.72"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","15,407","18.1","Q1","1.46","31.13"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","CELL BIOLOGY","SCIE","15,407","18.1","Q1","1.46","31.13"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","SPRINGERNATURE","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","25,742","17.5","Q1","2.12","100"%,
"Cell Discovery","CELL DISCOV","SPRINGERNATURE","N/A","2056-5968","CELL BIOLOGY","SCIE","8,357","16.9","Q1","1.86","100"%,
"Redox Biology","REDOX BIOL","ELSEVIER","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","46,483","16.2","Q1","2.9","99.92"%,
"Molecular Cell","MOL CELL","CELL PRESS","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","88,599","16","Q1","2.6","39.49"%,
"Molecular Cell","MOL CELL","CELL PRESS","1097-2765","1097-4164","CELL BIOLOGY","SCIE","88,599","16","Q1","2.6","39.49"%,
"Nature Chemical Biology","NAT CHEM BIOL","NATURE PORTFOLIO","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","35,656","15.8","Q1","3.05","29.08"%,
"Science Translational Medicine","SCI TRANSL MED","AMER ASSOC ADVANCEMENT SCIENCE","1946-6234","1946-6242","CELL BIOLOGY","SCIE","58,152","15.6","Q1","3.13","4.66"%,
"AGEING RESEARCH REVIEWS","AGEING RES REV","ELSEVIER IRELAND LTD","1568-1637","1872-9649","CELL BIOLOGY","SCIE","32,111","15.5","Q1","1.61","28.2"%,
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","OXFORD UNIV PRESS","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","318,538","15","Q1","3.06","99.74"%,
"Genes & Diseases","GENES DIS","KEAI PUBLISHING LTD","2352-4820","2352-3042","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","9,105","14.6","Q1","1.69","98.09"%,
"JOURNAL OF BIOMEDICAL SCIENCE","J BIOMED SCI","BMC","1021-7770","1423-0127","CELL BIOLOGY","SCIE","12,330","14.5","Q1","1.67","100"%,
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","CELL PRESS","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","20,954","14.4","Q1","1.18","32.23"%,
"Cell Reports Medicine","CELL REP MED","CELL PRESS","2666-3791","2666-3791","CELL BIOLOGY","SCIE","15,797","14","Q1","2.33","99.73"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","10,413","13.8","Q1","1.24","42.07"%,
"Plant Communications","PLANT COMMUN","CELL PRESS","2590-3462","2590-3462","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","7,450","13.7","Q1","2.38","100"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","36,020","13.6","Q1","2.23","49.69"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","CELL BIOLOGY","SCIE","36,020","13.6","Q1","2.23","49.69"%,
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","68,439","13.5","Q1","2.4","38.35"%,
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","CELL BIOLOGY","SCIE","68,439","13.5","Q1","2.4","38.35"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","9,350","13.4","Q1","1.02","28.42"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","CELL BIOLOGY","SCIE","9,350","13.4","Q1","1.02","28.42"%,
"Molecular Biomedicine","MOL BIOMED","SPRINGERNATURE","N/A","2662-8651","BIOCHEMISTRY & MOLECULAR BIOLOGY","ESCI","2,618","13","Q1","1.23","100"%,
"Molecular Biomedicine","MOL BIOMED","SPRINGERNATURE","N/A","2662-8651","CELL BIOLOGY","ESCI","2,618","13","Q1","1.23","100"%,
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","WILEY","1672-9072","1744-7909","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","17,256","12.5","Q1","2.1","28.74"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","14,406","12.5","Q1","1.39","41.71"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","ANNUAL REVIEWS","1081-0706","1530-8995","CELL BIOLOGY","SCIE","10,152","12.5","Q1","1.32","100"%,
