"Journal Data Filtered By:  Selected Categories: EVOLUTIONARY BIOLOGY;BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOCHEMICAL RESEARCH METHODS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","88,969","81.2","Q1","6.13","100"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","154,284","52.5","Q1","9.88","61.4"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","329,596","45.1","Q1","6.92","44.27"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","53,231","42.2","Q1","5.07","100"%,
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","32,597","32.7","Q1","4.84","23.99"%,
"NATURE METHODS","NAT METHODS","NATURE PORTFOLIO","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","SCIE","142,000","28.3","Q1","7.21","54.23"%,
"Annual Review of Biochemistry","ANNU REV BIOCHEM","ANNUAL REVIEWS","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","21,229","24.9","Q1","1.95","100"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","CELL PRESS","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","21,555","18.7","Q1","1.65","33.06"%,
"Nature Protocols","NAT PROTOC","NATURE PORTFOLIO","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","SCIE","62,362","18.4","Q1","3.9","3.54"%,
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","PERGAMON-ELSEVIER SCIENCE LTD","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","8,950","18.1","Q1","1.75","50.72"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","15,407","18.1","Q1","1.46","31.13"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","CELL PRESS","0169-5347","1872-8383","EVOLUTIONARY BIOLOGY","SCIE","43,414","17.9","Q1","2.44","42.45"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","SPRINGERNATURE","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","25,742","17.5","Q1","2.12","100"%,
"Nature Ecology & Evolution","NAT ECOL EVOL","NATURE PORTFOLIO","2397-334X","2397-334X","EVOLUTIONARY BIOLOGY","SCIE","27,566","17.1","Q1","4.14","41.32"%,
"Redox Biology","REDOX BIOL","ELSEVIER","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","46,483","16.2","Q1","2.9","99.92"%,
"Molecular Cell","MOL CELL","CELL PRESS","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","88,599","16","Q1","2.6","39.49"%,
"Nature Chemical Biology","NAT CHEM BIOL","NATURE PORTFOLIO","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","35,656","15.8","Q1","3.05","29.08"%,
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","OXFORD UNIV PRESS","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","318,538","15","Q1","3.06","99.74"%,
"Genes & Diseases","GENES DIS","KEAI PUBLISHING LTD","2352-4820","2352-3042","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","9,105","14.6","Q1","1.69","98.09"%,
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","CELL PRESS","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","20,954","14.4","Q1","1.18","32.23"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","10,413","13.8","Q1","1.24","42.07"%,
"Plant Communications","PLANT COMMUN","CELL PRESS","2590-3462","2590-3462","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","7,450","13.7","Q1","2.38","100"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","36,020","13.6","Q1","2.23","49.69"%,
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","68,439","13.5","Q1","2.4","38.35"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","9,350","13.4","Q1","1.02","28.42"%,
"Molecular Biomedicine","MOL BIOMED","SPRINGERNATURE","N/A","2662-8651","BIOCHEMISTRY & MOLECULAR BIOLOGY","ESCI","2,618","13","Q1","1.23","100"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","ANNUAL REVIEWS","1543-592X","1545-2069","EVOLUTIONARY BIOLOGY","SCIE","23,850","12.9","Q1","1.38","98.55"%,
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","WILEY","1672-9072","1744-7909","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","17,256","12.5","Q1","2.1","28.74"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","14,406","12.5","Q1","1.39","41.71"%,
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","BMC","1425-8153","1689-1392","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","7,176","12.2","Q1","1.58","100"%,
"International Journal of Biological Sciences","INT J BIOL SCI","IVYSPRING INT PUBL","1449-2288","1449-2288","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","27,120","11.7","Q1","2.24","99.9"%,
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","ELSEVIER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","13,936","11.2","Q1","1.31","26.85"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","45,718","10.4","Q1","2.08","59.47"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","29,500","10.1","Q1","2.22","47.44"%,
"Cell Surface","CELL SURF","ELSEVIER","2468-2330","2468-2330","BIOCHEMISTRY & MOLECULAR BIOLOGY","ESCI","794","9.3","Q1","1.17","100"%,
"ONCOGENE","ONCOGENE","SPRINGERNATURE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","59,393","9.1","Q1","1.57","43.02"%,
"Cell Chemical Biology","CELL CHEM BIOL","CELL PRESS","2451-9456","2451-9448","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","10,508","9","Q1","1.57","18.77"%,
"APOPTOSIS","APOPTOSIS","SPRINGER","1360-8185","1573-675X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","8,879","9","Q1","1.16","22.25"%,
"CLADISTICS","CLADISTICS","WILEY","0748-3007","1096-0031","EVOLUTIONARY BIOLOGY","SCIE","4,357","8.9","Q1","2.95","35.35"%,
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","ELSEVIER","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","294,329","8.7","Q1","1.45","9.53"%,
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","TAYLOR & FRANCIS LTD","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","4,172","8.7","Q1","0.66","13.95"%,
"Extracellular Vesicles and Circulating Nucleic Acids","EXTRACELL VESICLES C","OAE PUBLISHING INC","N/A","2767-6641","BIOCHEMISTRY & MOLECULAR BIOLOGY","ESCI","865","8.5","Q1","0.61","75.93"%,
"EMBO JOURNAL","EMBO J","SPRINGERNATURE","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","63,452","8.4","Q1","1.44","86.41"%,
"MOLECULAR MEDICINE","MOL MED","SPRINGER","1076-1551","1528-3658","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","11,517","8.3","Q1","1.26","100"%,
"Antioxidants","ANTIOXIDANTS-BASEL","MDPI","N/A","2076-3921","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","91,446","8.2","Q1","1.22","99.96"%,
"MOLECULES AND CELLS","MOL CELLS","KOREAN SOC MOLECULAR & CELLULAR BIOLOGY","1016-8478","0219-1032","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","6,812","8.2","Q1","0.71","100"%,
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","ELSEVIER SCIENCE INC","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","58,154","8","Q1","1.74","27.24"%,
"Journal of Genetics and Genomics","J GENET GENOMICS","SCIENCE PRESS","1673-8527","1873-5533","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","5,807","7.9","Q1","1.33","39.74"%,
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","CURRENT BIOLOGY LTD","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","13,672","7.8","Q1","1.35","55.11"%,
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","ELSEVIER SCI LTD","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS","SCIE","19,937","7.8","Q1","0.87","46.49"%,
