"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY;MYCOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","NATURE PORTFOLIO","1474-1733","1474-1741","IMMUNOLOGY","SCIE","69,495","47.1","Q1","5.76","1.1"%,
"Annual Review of Immunology","ANNU REV IMMUNOL","ANNUAL REVIEWS","0732-0582","1545-3278","IMMUNOLOGY","SCIE","20,193","39.8","Q1","3.63","100"%,
"Immunity","IMMUNITY","CELL PRESS","1074-7613","1097-4180","IMMUNOLOGY","SCIE","80,786","30.6","Q1","5.57","31.76"%,
"FUNGAL DIVERSITY","FUNGAL DIVERS","SPRINGER","1560-2745","1878-9129","MYCOLOGY","SCIE","8,588","27","Q1","7.03","27.78"%,
"NATURE IMMUNOLOGY","NAT IMMUNOL","NATURE PORTFOLIO","1529-2908","1529-2916","IMMUNOLOGY","SCIE","59,614","26.5","Q1","5.47","37.09"%,
"Cellular & Molecular Immunology","CELL MOL IMMUNOL","CHIN SOCIETY IMMUNOLOGY","1672-7681","2042-0226","IMMUNOLOGY","SCIE","21,315","23.9","Q1","3.01","54.71"%,
"Mycosphere","MYCOSPHERE","Maximum Academic Press","2077-7000","2077-7019","MYCOLOGY","SCIE","3,955","19.9","Q1","5.05","98.02"%,
"STUDIES IN MYCOLOGY","STUD MYCOL","WESTERDIJK FUNGAL BIODIVERSITY INST","0166-0616","1872-9797","MYCOLOGY","SCIE","5,882","18.3","Q1","5.09","44.44"%,
"Science Immunology","SCI IMMUNOL","AMER ASSOC ADVANCEMENT SCIENCE","2470-9468","2470-9468","IMMUNOLOGY","SCIE","16,066","16.4","Q1","3.7","5.32"%,
"Lancet HIV","LANCET HIV","ELSEVIER INC","2352-3018","2352-3018","IMMUNOLOGY","SCIE","7,238","14.6","Q1","2.95","20.79"%,
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","CELL PRESS","1471-4906","1471-4981","IMMUNOLOGY","SCIE","18,014","13.1","Q1","1.35","24.06"%,
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","MOSBY-ELSEVIER","0091-6749","1097-6825","IMMUNOLOGY","SCIE","57,333","11.7","Q1","2.32","30.79"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","BMJ PUBLISHING GROUP","N/A","2051-1426","IMMUNOLOGY","SCIE","38,924","11.7","Q1","2.28","100"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","IMMUNOLOGY","SCIE","60,274","11.6","Q1","2.42","43.04"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","BMC","N/A","1742-2094","IMMUNOLOGY","SCIE","37,393","11.5","Q1","2.4","100"%,
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","CLIN REV ALLERG IMMU","HUMANA PRESS INC","1080-0549","1559-0267","IMMUNOLOGY","SCIE","7,207","11.5","Q1","1.7","32.12"%,
"Seminars in Immunopathology","SEMIN IMMUNOPATHOL","SPRINGER HEIDELBERG","1863-2297","1863-2300","IMMUNOLOGY","SCIE","6,679","11.5","Q1","1.64","70.51"%,
"SEMINARS IN IMMUNOLOGY","SEMIN IMMUNOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1044-5323","1096-3618","IMMUNOLOGY","SCIE","7,845","11.5","Q1","0.95","40.96"%,
"ALLERGY","ALLERGY","WILEY","0105-4538","1398-9995","IMMUNOLOGY","SCIE","27,633","11.3","Q1","2.08","64.91"%,
"IMMUNOLOGICAL REVIEWS","IMMUNOL REV","WILEY","0105-2896","1600-065X","IMMUNOLOGY","SCIE","19,641","10.6","Q1","1","49.15"%,
"AUTOIMMUNITY REVIEWS","AUTOIMMUN REV","ELSEVIER","1568-9972","1873-0183","IMMUNOLOGY","SCIE","15,742","9.8","Q1","1.61","32.24"%,
"PERSOONIA","PERSOONIA","RIJKSHERBARIUM","0031-5850","N/A","MYCOLOGY","SCIE","3,668","9.5","Q1","2.48","86.36"%,
"BIODRUGS","BIODRUGS","ADIS INT LTD","1173-8804","1179-190X","IMMUNOLOGY","SCIE","4,076","8.5","Q1","1.3","57.31"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","OXFORD UNIV PRESS INC","1058-4838","1537-6591","IMMUNOLOGY","SCIE","77,853","8.3","Q1","1.88","45.32"%,
"Immunity & Ageing","IMMUN AGEING","BMC","1742-4933","1742-4933","IMMUNOLOGY","SCIE","3,583","8.3","Q1","1.33","100"%,
"Cancer Immunology Research","CANCER IMMUNOL RES","AMER ASSOC CANCER RESEARCH","2326-6066","2326-6074","IMMUNOLOGY","SCIE","13,610","7.9","Q1","1.85","32.68"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059","IMMUNOLOGY","SCIE","34,822","7.9","Q1","1.61","98.66"%,
"Inflammation and Regeneration","INFLAMM REGEN","BMC","N/A","1880-8190","IMMUNOLOGY","SCIE","2,529","7.7","Q1","1.08","100"%,
