"Journal Data Filtered By:  Selected Categories: ENGINEERING, BIOMEDICAL;MEDICAL LABORATORY TECHNOLOGY;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;MEDICAL INFORMATICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Nature Reviews Bioengineering","NAT REV BIOENG","SPRINGERNATURE","N/A","2731-6092","ENGINEERING, BIOMEDICAL","SCIE","5,529","42.7","Q1","3.11","3.47"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE PORTFOLIO","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","24,906","26.3","Q1","4.83","33.59"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICAL INFORMATICS","SCIE","11,618","25.5","Q1","3.78","99.13"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","ENGINEERING, BIOMEDICAL","SCIE","43,995","23.6","Q1","3.92","100"%,
"Cyborg and Bionic Systems","CYBORG BIONIC SYST","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2692-7632","ENGINEERING, BIOMEDICAL","SCIE","2,883","20.9","Q1","3.09","100"%,
"Radiology-Artificial Intelligence","RADIOL-ARTIF INTELL","RADIOLOGICAL SOC NORTH AMERICA (RSNA)","2638-6100","2638-6100","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","4,771","20.1","Q1","3.22","17.39"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","19,131","19","Q1","4.34","31.49"%,
"npj Digital Medicine","NPJ DIGIT MED","NATURE PORTFOLIO","2398-6352","2398-6352","MEDICAL INFORMATICS","SCIE","25,262","18","Q1","3.72","100"%,
"RADIOLOGY","RADIOLOGY","RADIOLOGICAL SOC NORTH AMERICA (RSNA)","0033-8419","1527-1315","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","61,752","17.6","Q1","4.15","10.6"%,
"Biomedical Technology","BIOMED TECHNOL-PRC","KEAI PUBLISHING LTD","N/A","2949-723X","ENGINEERING, BIOMEDICAL","ESCI","1,023","16.4","Q1","2.31","100"%,
"IEEE Reviews in Biomedical Engineering","IEEE REV BIOMED ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL","SCIE","3,840","16","Q1","2.52","22"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL","SCIE","32,042","14","Q1","2.67","33.76"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","32,042","14","Q1","2.67","33.76"%,
"BIOMATERIALS","BIOMATERIALS","ELSEVIER SCI LTD","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL","SCIE","110,718","13.6","Q1","2.34","16"%,
"Meta-Radiology","META-RADIOLOGY","KEAI PUBLISHING LTD","N/A","2950-1628","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","ESCI","696","13.3","Q1","2.32","100"%,
"Smart Medicine","SMART MED","WILEY-V C H VERLAG GMBH","2751-1871","2751-1871","ENGINEERING, BIOMEDICAL","ESCI","1,239","12.8","Q1","1.25","100"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","ENGINEERING, BIOMEDICAL","SCIE","43,138","12.4","Q1","2.4","10.4"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","43,138","12.4","Q1","2.4","10.4"%,
"BRITISH JOURNAL OF BIOMEDICAL SCIENCE","BRIT J BIOMED SCI","FRONTIERS MEDIA SA","0967-4845","2474-0896","MEDICAL LABORATORY TECHNOLOGY","SCIE","1,399","11.9","Q1","1.72","100"%,
