"Journal Data Filtered By:  Selected Categories: MEDICINE, GENERAL & INTERNAL;MEDICINE, RESEARCH & EXPERIMENTAL;CRITICAL CARE MEDICINE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"LANCET","LANCET","ELSEVIER SCIENCE INC","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","SCIE","378,842","109","Q1","23.89","25.49"%,
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","SCIE","414,591","84.5","Q1","20.92","0.55"%,
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","NATURE PORTFOLIO","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","SCIE","45,742","79.8","Q1","16.97","1.74"%,
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","AMER MEDICAL ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","SCIE","205,027","65.4","Q1","11.42","0.94"%,
"BMJ-British Medical Journal","BMJ-BRIT MED J","BMJ PUBLISHING GROUP","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","SCIE","188,624","55.1","Q1","8.91","76.76"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","154,284","52.5","Q1","9.88","61.4"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","CRITICAL CARE MEDICINE","SCIE","25,277","34.7","Q1","7.93","19.32"%,
"Military Medical Research","MILITARY MED RES","KEAI PUBLISHING LTD","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL","SCIE","7,682","29","Q1","3.85","100"%,
"JAMA Internal Medicine","JAMA INTERN MED","AMER MEDICAL ASSOC","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","SCIE","28,116","26.3","Q1","6.35","20.37"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICINE, GENERAL & INTERNAL","SCIE","11,618","25.5","Q1","3.78","99.13"%,
"INTENSIVE CARE MEDICINE","INTENS CARE MED","SPRINGER","0342-4642","1432-1238","CRITICAL CARE MEDICINE","SCIE","34,080","22","Q1","3.64","41.99"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","OXFORD UNIV PRESS","1073-449X","1535-4970","CRITICAL CARE MEDICINE","SCIE","71,648","21.7","Q1","4.75","22.42"%,
"Annual Review of Medicine","ANNU REV MED","ANNUAL REVIEWS","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,605","18.8","Q1","2.49","100"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","15,407","18.1","Q1","1.46","31.13"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","SPRINGERNATURE","1226-3613","2092-6413","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","25,742","17.5","Q1","2.12","100"%,
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","AMER COLL PHYSICIANS","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","SCIE","69,750","17.2","Q1","3.66","0.7"%,
"Science Translational Medicine","SCI TRANSL MED","AMER ASSOC ADVANCEMENT SCIENCE","1946-6234","1946-6242","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","58,152","15.6","Q1","3.13","4.66"%,
"Theranostics","THERANOSTICS","IVYSPRING INT PUBL","1838-7640","1838-7640","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","56,535","14.9","Q1","2.87","99.92"%,
"Biomarker Research","BIOMARK RES","BMC","N/A","2050-7771","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,601","14.6","Q1","1.8","100"%,
"Interdisciplinary Medicine","INTERD MED","WILEY-V C H VERLAG GMBH","2832-6237","2832-6245","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,426","14.5","Q1","1.9","100"%,
"JOURNAL OF BIOMEDICAL SCIENCE","J BIOMED SCI","BMC","1021-7770","1423-0127","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","12,330","14.5","Q1","1.67","100"%,
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","AMER SOC CLINICAL INVESTIGATION INC","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","120,571","14.3","Q1","2.93","99.14"%,
