"Journal Data Filtered By:  Selected Categories: BIOTECHNOLOGY & APPLIED MICROBIOLOGY;MICROBIOLOGY;VIROLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","NATURE PORTFOLIO","1740-1526","1740-1534","MICROBIOLOGY","SCIE","71,046","104.6","Q1","9.49","0"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","57,448","91.2","Q1","10.92","6.48"%,
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","NATURE PORTFOLIO","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","111,118","44.5","Q1","8.43","48.92"%,
"iMeta","IMETA","WILEY","2770-5986","2770-596X","MICROBIOLOGY","SCIE","7,646","44.4","Q1","6.78","100"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","MICROBIOLOGY","SCIE","36,971","23.2","Q1","5.74","37.41"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","VIROLOGY","SCIE","36,971","23.2","Q1","5.74","37.41"%,
"Lancet Microbe","LANCET MICROBE","ELSEVIER","N/A","2666-5247","MICROBIOLOGY","SCIE","8,267","21.9","Q1","3.69","99.68"%,
"CLINICAL MICROBIOLOGY REVIEWS","CLIN MICROBIOL REV","AMER SOC MICROBIOLOGY","0893-8512","1098-6618","MICROBIOLOGY","SCIE","27,202","20.7","Q1","1.97","5.19"%,
"Nature Microbiology","NAT MICROBIOL","NATURE PORTFOLIO","2058-5276","2058-5276","MICROBIOLOGY","SCIE","32,131","18.7","Q1","4.62","45.63"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","CELL PRESS","0966-842X","1878-4380","MICROBIOLOGY","SCIE","21,555","18.7","Q1","1.65","33.06"%,
"FEMS MICROBIOLOGY REVIEWS","FEMS MICROBIOL REV","OXFORD UNIV PRESS","0168-6445","1574-6976","MICROBIOLOGY","SCIE","19,031","16.9","Q1","1.46","79.11"%,
"TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","CELL PRESS","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","21,544","16.6","Q1","1.64","28.57"%,
"Gut Microbes","GUT MICROBES","TAYLOR & FRANCIS INC","1949-0976","1949-0984","MICROBIOLOGY","SCIE","29,335","15.3","Q1","2.8","100"%,
"REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY","REV ENVIRON SCI BIO","SPRINGER","1569-1705","1572-9826","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","6,785","15.1","Q1","1.12","30.63"%,
"JOURNAL OF NANOBIOTECHNOLOGY","J NANOBIOTECHNOL","BMC","N/A","1477-3155","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","44,212","15","Q1","1.98","100"%,
"Microbiome","MICROBIOME","BMC","2049-2618","2049-2618","MICROBIOLOGY","SCIE","35,895","14.9","Q1","3.48","100"%,
"BIOTECHNOLOGY ADVANCES","BIOTECHNOL ADV","PERGAMON-ELSEVIER SCIENCE LTD","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","29,250","14.1","Q1","1.38","24.36"%,
"npj Antimicrobials and Resistance","NPJ ANTIMICROB RESIS","SPRINGERNATURE","N/A","2731-8745","MICROBIOLOGY","ESCI","1,147","13.6","Q1","1.94","100"%,
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","WILEY","1467-7644","1467-7652","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","25,693","12.8","Q1","2.29","100"%,
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","ANNUAL REVIEWS","2165-8102","2165-8110","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","2,743","12.3","Q1","1.89","98.21"%,
"Annual Review of Microbiology","ANNU REV MICROBIOL","ANNUAL REVIEWS","0066-4227","1545-3251","MICROBIOLOGY","SCIE","10,883","12.2","Q1","1","100"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","85,537","11.8","Q1","2.19","14.4"%,
"MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS","MICROBIOL MOL BIOL R","AMER SOC MICROBIOLOGY","1092-2172","1098-5557","MICROBIOLOGY","SCIE","14,814","11.8","Q1","1","3.23"%,
"MOLECULAR THERAPY","MOL THER","CELL PRESS","1525-0016","1525-0024","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","32,897","11.4","Q1","2.57","35.37"%,
"npj Biofilms and Microbiomes","NPJ BIOFILMS MICROBI","NATURE PORTFOLIO","N/A","2055-5008","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","7,589","11.4","Q1","2.23","100"%,
"npj Biofilms and Microbiomes","NPJ BIOFILMS MICROBI","NATURE PORTFOLIO","N/A","2055-5008","MICROBIOLOGY","SCIE","7,589","11.4","Q1","2.23","100"%,
"ISME Journal","ISME J","OXFORD UNIV PRESS","1751-7362","1751-7370","MICROBIOLOGY","SCIE","45,940","10.2","Q1","2.47","93.32"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","80,904","9.2","Q1","2.38","100"%,
"Advanced Biotechnology","ADV BIOTECHNOL-SING","SPRINGERNATURE","N/A","2948-2801","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","ESCI","468","8.8","Q1","1.04","100"%,
"CLINICAL MICROBIOLOGY AND INFECTION","CLIN MICROBIOL INFEC","ELSEVIER SCI LTD","1198-743X","1469-0691","MICROBIOLOGY","SCIE","27,908","8.7","Q1","1.93","34.3"%,
"CRITICAL REVIEWS IN BIOTECHNOLOGY","CRIT REV BIOTECHNOL","TAYLOR & FRANCIS LTD","0738-8551","1549-7801","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","9,397","8.7","Q1","0.85","8.74"%,
