"Journal Data Filtered By:  Selected Categories: CLINICAL NEUROLOGY;NEUROIMAGING;NEUROSCIENCES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"LANCET NEUROLOGY","LANCET NEUROL","ELSEVIER SCIENCE INC","1474-4422","1474-4465","CLINICAL NEUROLOGY","SCIE","59,391","54.6","Q1","12.67","16.97"%,
"Nature Reviews Neurology","NAT REV NEUROL","NATURE PORTFOLIO","1759-4758","1759-4766","CLINICAL NEUROLOGY","SCIE","25,085","31.2","Q1","5.58","0.63"%,
"NATURE REVIEWS NEUROSCIENCE","NAT REV NEUROSCI","NATURE PORTFOLIO","1471-003X","1471-0048","NEUROSCIENCES","SCIE","54,187","29","Q1","3.68","1.45"%,
"Nature Aging","NATURE AGING","SPRINGERNATURE","N/A","2662-8465","NEUROSCIENCES","SCIE","10,875","25","Q1","4.66","44.81"%,
"JAMA Neurology","JAMA NEUROL","AMER MEDICAL ASSOC","2168-6149","2168-6157","CLINICAL NEUROLOGY","SCIE","26,720","23.6","Q1","6.2","33.23"%,
"NATURE NEUROSCIENCE","NAT NEUROSCI","NATURE PORTFOLIO","1097-6256","1546-1726","NEUROSCIENCES","SCIE","79,106","20.3","Q1","5.35","47.19"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","CELL PRESS","1364-6613","1879-307X","NEUROSCIENCES","SCIE","40,204","20.3","Q1","2.54","34.8"%,
"Molecular Neurodegeneration","MOL NEURODEGENER","BMC","N/A","1750-1326","NEUROSCIENCES","SCIE","14,388","19.6","Q1","3.58","100"%,
"Translational Neurodegeneration","TRANSL NEURODEGENER","BMC","2047-9158","2047-9158","NEUROSCIENCES","SCIE","6,340","19.1","Q1","2.78","100"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","NEUROSCIENCES","SCIE","21,937","17.5","Q1","3.95","35.94"%,
