"Journal Data Filtered By:  Selected Categories: ONCOLOGY;MULTIDISCIPLINARY SCIENCES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","WILEY","0007-9235","1542-4863","ONCOLOGY","SCIE","78,841","685.2","Q1","114.1","100"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","NATURE PORTFOLIO","1759-4774","1759-4782","ONCOLOGY","SCIE","39,514","94.6","Q1","11.09","0.7"%,
"ANNALS OF ONCOLOGY","ANN ONCOL","ELSEVIER","0923-7534","1569-8041","ONCOLOGY","SCIE","68,920","80.4","Q1","9.94","38.32"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","NATURE PORTFOLIO","1474-175X","1474-1768","ONCOLOGY","SCIE","62,745","60.7","Q1","7.66","2.14"%,
"NATURE","NATURE","NATURE PORTFOLIO","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","1,053,832","56.1","Q1","10.84","53.07"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","ONCOLOGY","SCIE","64,398","56.1","Q1","8.22","41.76"%,
"Nature Reviews Methods Primers","NAT REV METHOD PRIME","SPRINGERNATURE","N/A","2662-8449","MULTIDISCIPLINARY SCIENCES","SCIE","14,296","54.2","Q1","7.9","0"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","ONCOLOGY","SCIE","32,695","47.8","Q1","5.93","100"%,
"SCIENCE","SCIENCE","AMER ASSOC ADVANCEMENT SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","SCIE","831,162","47.3","Q1","8.74","11.3"%,
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","LIPPINCOTT WILLIAMS & WILKINS","0732-183X","1527-7755","ONCOLOGY","SCIE","180,692","44.7","Q1","6.45","36.39"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","ONCOLOGY","SCIE","53,231","42.2","Q1","5.07","100"%,
"Innovation","INNOVATION-AMSTERDAM","CELL PRESS","2666-6758","2666-6758","MULTIDISCIPLINARY SCIENCES","ESCI","13,607","39.5","Q1","3.66","100"%,
"LANCET ONCOLOGY","LANCET ONCOL","ELSEVIER SCIENCE INC","1470-2045","1474-5488","ONCOLOGY","SCIE","77,887","33.7","Q1","7.06","16.03"%,
"Exploration","EXPLORATION-PRC","WILEY","2766-8509","2766-2098","MULTIDISCIPLINARY SCIENCES","ESCI","7,152","30.4","Q1","2.29","100"%,
"Cancer Discovery","CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2159-8274","2159-8290","ONCOLOGY","SCIE","40,579","29.5","Q1","6.35","51.29"%,
"Cancer Communications","CANCER COMMUN","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2523-3548","ONCOLOGY","SCIE","9,938","28.4","Q1","4.27","98.61"%,
"Nature Cancer","NAT CANCER","NATURE PORTFOLIO","N/A","2662-1347","ONCOLOGY","SCIE","14,846","28","Q1","5.64","38.56"%,
"Journal of the National Cancer Center","J NATL CANCER CTR","ELSEVIER","2667-0054","2667-0054","ONCOLOGY","ESCI","2,638","25.2","Q1","4.67","100"%,
"JAMA Oncology","JAMA ONCOL","AMER MEDICAL ASSOC","2374-2437","2374-2445","ONCOLOGY","SCIE","32,733","23.9","Q1","4.13","26.58"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","ELSEVIER SCIENCE INC","1556-0864","1556-1380","ONCOLOGY","SCIE","29,690","23.3","Q1","4.6","27.6"%,
"CANCER RESEARCH","CANCER RES","AMER ASSOC CANCER RESEARCH","0008-5472","1538-7445","ONCOLOGY","SCIE","119,428","22.6","Q1","2.61","35.17"%,
"Trends in Cancer","TRENDS CANCER","CELL PRESS","2405-8033","2405-8025","ONCOLOGY","SCIE","11,685","21.6","Q1","2.27","29.52"%,
"Science Bulletin","SCI BULL","ELSEVIER","2095-9273","2095-9281","MULTIDISCIPLINARY SCIENCES","SCIE","27,405","20.7","Q1","2.98","29.9"%,
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1044-579X","1096-3650","ONCOLOGY","SCIE","21,930","20.3","Q1","3.7","30.52"%,
"Nature Computational Science","NAT COMPUT SCI","SPRINGERNATURE","N/A","2662-8457","MULTIDISCIPLINARY SCIENCES","SCIE","6,661","20.3","Q1","3.6","29.75"%,
"Nature Communications","NAT COMMUN","NATURE PORTFOLIO","N/A","2041-1723","MULTIDISCIPLINARY SCIENCES","SCIE","1,166,083","18.1","Q1","3.47","99.94"%,
"National Science Review","NATL SCI REV","OXFORD UNIV PRESS","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES","SCIE","25,850","18.1","Q1","2.74","100"%,
