"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY","SCIE","57,448","91.2","Q1","10.92","6.48"%,
"LANCET INFECTIOUS DISEASES","LANCET INFECT DIS","ELSEVIER SCI LTD","1473-3099","1474-4457","INFECTIOUS DISEASES","SCIE","42,054","29.4","Q1","6.9","28.09"%,
"TRENDS IN PHARMACOLOGICAL SCIENCES","TRENDS PHARMACOL SCI","CELL PRESS","0165-6147","1873-3735","PHARMACOLOGY & PHARMACY","SCIE","17,299","24","Q1","2.64","29.65"%,
"DRUG RESISTANCE UPDATES","DRUG RESIST UPDATE","CHURCHILL LIVINGSTONE","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY","SCIE","9,360","22","Q1","4.47","35.71"%,
"Lancet Microbe","LANCET MICROBE","ELSEVIER","N/A","2666-5247","INFECTIOUS DISEASES","SCIE","8,267","21.9","Q1","3.69","99.68"%,
"ADVANCED DRUG DELIVERY REVIEWS","ADV DRUG DELIVER REV","ELSEVIER","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY","SCIE","54,536","21","Q1","2.36","30.83"%,
"PHARMACOLOGICAL REVIEWS","PHARMACOL REV","ELSEVIER","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY","SCIE","14,680","20.3","Q1","2.35","34.42"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","PHARMACOLOGY & PHARMACY","SCIE","9,259","19","Q1","2.35","100"%,
"DRUGS","DRUGS","ADIS INT LTD","0012-6667","1179-1950","PHARMACOLOGY & PHARMACY","SCIE","24,630","14.7","Q1","2.82","30.18"%,
"Acta Pharmaceutica Sinica B","ACTA PHARM SIN B","INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES","2211-3835","2211-3843","PHARMACOLOGY & PHARMACY","SCIE","28,576","14.6","Q1","3.4","99.37"%,
"Lancet HIV","LANCET HIV","ELSEVIER INC","2352-3018","2352-3018","INFECTIOUS DISEASES","SCIE","7,238","14.6","Q1","2.95","20.79"%,
"npj Antimicrobials and Resistance","NPJ ANTIMICROB RESIS","SPRINGERNATURE","N/A","2731-8745","INFECTIOUS DISEASES","ESCI","1,147","13.6","Q1","1.94","100"%,
"MEDICINAL RESEARCH REVIEWS","MED RES REV","WILEY","0198-6325","1098-1128","PHARMACOLOGY & PHARMACY","SCIE","10,944","13.6","Q1","1.6","29.15"%,
"PHARMACOLOGY & THERAPEUTICS","PHARMACOL THERAPEUT","PERGAMON-ELSEVIER SCIENCE LTD","0163-7258","1879-016X","PHARMACOLOGY & PHARMACY","SCIE","28,422","13.5","Q1","1.66","30.64"%,
"Asian Journal of Pharmaceutical Sciences","ASIAN J PHARM SCI","KEAI PUBLISHING LTD","1818-0876","1818-0876","PHARMACOLOGY & PHARMACY","SCIE","6,200","12.6","Q1","2.5","100"%,
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","ELSEVIER","0168-3659","1873-4995","PHARMACOLOGY & PHARMACY","SCIE","85,834","12.4","Q1","2.25","23.26"%,
"PHARMACOLOGICAL RESEARCH","PHARMACOL RES","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1043-6618","1096-1186","PHARMACOLOGY & PHARMACY","SCIE","43,043","12.2","Q1","2.82","100"%,
"PHYTOMEDICINE","PHYTOMEDICINE","ELSEVIER GMBH","0944-7113","1618-095X","PHARMACOLOGY & PHARMACY","SCIE","45,792","11.3","Q1","2.39","18.47"%,
"Journal of Pharmaceutical Analysis","J PHARM ANAL","ELSEVIER","2095-1779","2214-0883","PHARMACOLOGY & PHARMACY","SCIE","7,439","11.2","Q1","2.07","100"%,
"ACTA PHARMACOLOGICA SINICA","ACTA PHARMACOL SIN","NATURE PUBL GROUP","1671-4083","1745-7254","PHARMACOLOGY & PHARMACY","SCIE","21,832","10.4","Q1","1.69","11.02"%,
"JOURNAL OF INFECTION","J INFECTION","W B SAUNDERS CO LTD","0163-4453","1532-2742","INFECTIOUS DISEASES","SCIE","13,105","10","Q1","1.85","91.06"%,
"Science in One Health","SCI ONE HEALTH","ELSEVIER","N/A","2949-7043","INFECTIOUS DISEASES","ESCI","578","9.3","Q1","1.54","100"%,
"CLINICAL MICROBIOLOGY AND INFECTION","CLIN MICROBIOL INFEC","ELSEVIER SCI LTD","1198-743X","1469-0691","INFECTIOUS DISEASES","SCIE","27,908","8.7","Q1","1.93","34.3"%,
"International Journal of Nanomedicine","INT J NANOMED","DOVE MEDICAL PRESS LTD","1176-9114","1178-2013","PHARMACOLOGY & PHARMACY","SCIE","49,046","8.7","Q1","1.28","98.69"%,
"DRUG DISCOVERY TODAY","DRUG DISCOV TODAY","ELSEVIER SCI LTD","1359-6446","1878-5832","PHARMACOLOGY & PHARMACY","SCIE","25,524","8.7","Q1","1.05","34.32"%,
"BIODRUGS","BIODRUGS","ADIS INT LTD","1173-8804","1179-190X","PHARMACOLOGY & PHARMACY","SCIE","4,076","8.5","Q1","1.3","57.31"%,
"Eurosurveillance","EUROSURVEILLANCE","EUR CENTRE DIS PREVENTION & CONTROL","1025-496X","1560-7917","INFECTIOUS DISEASES","SCIE","12,192","8.3","Q1","2.4","97.43"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","OXFORD UNIV PRESS INC","1058-4838","1537-6591","INFECTIOUS DISEASES","SCIE","77,853","8.3","Q1","1.88","45.32"%,
"European Heart Journal-Cardiovascular Pharmacotherapy","EUR HEART J-CARD PHA","OXFORD UNIV PRESS","2055-6837","2055-6845","PHARMACOLOGY & PHARMACY","SCIE","2,494","8.2","Q1","1.43","49.7"%,
"ARCHIVES OF PHARMACAL RESEARCH","ARCH PHARM RES","PHARMACEUTICAL SOC KOREA","0253-6269","1976-3786","PHARMACOLOGY & PHARMACY","SCIE","8,786","8.2","Q1","1.37","10.43"%,
"PHYTOTHERAPY RESEARCH","PHYTOTHER RES","WILEY","0951-418X","1099-1573","PHARMACOLOGY & PHARMACY","SCIE","27,544","8.1","Q1","1.41","11.87"%,
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","ELSEVIER","0924-977X","1873-7862","PHARMACOLOGY & PHARMACY","SCIE","9,428","8.1","Q1","1.37","59.11"%,
"DRUG DELIVERY","DRUG DELIV","TAYLOR & FRANCIS LTD","1071-7544","1521-0464","PHARMACOLOGY & PHARMACY","SCIE","13,146","8","Q1","2.33","100"%,
"International Journal of Pharmaceutics-X","INT J PHARM-X","ELSEVIER","N/A","2590-1567","PHARMACOLOGY & PHARMACY","SCIE","2,180","7.9","Q1","2.06","100"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059","INFECTIOUS DISEASES","SCIE","34,822","7.9","Q1","1.61","98.66"%,
"NEUROPSYCHOPHARMACOLOGY","NEUROPSYCHOPHARMACOL","SPRINGERNATURE","0893-133X","1740-634X","PHARMACOLOGY & PHARMACY","SCIE","32,107","7.6","Q1","1.63","50.27"%,
"BRITISH JOURNAL OF PHARMACOLOGY","BRIT J PHARMACOL","WILEY","0007-1188","1476-5381","PHARMACOLOGY & PHARMACY","SCIE","39,682","7.5","Q1","1.65","50.48"%,
