"Journal Data Filtered By:  Selected Categories: TOXICOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","TOXICOLOGY","SCIE","9,259","19","Q1","2.35","100"%,
"DRUGS","DRUGS","ADIS INT LTD","0012-6667","1179-1950","TOXICOLOGY","SCIE","24,630","14.7","Q1","2.82","30.18"%,
"Environmental Chemistry and Ecotoxicology","ENVIRON CHEM ECOTOX","KEAI PUBLISHING LTD","N/A","2590-1826","TOXICOLOGY","ESCI","2,003","12.3","Q1","2.26","100"%,
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","J TOXICOL ENV HEAL B","TAYLOR & FRANCIS INC","1093-7404","1521-6950","TOXICOLOGY","SCIE","2,770","11.6","Q1","1.14","18.64"%,
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924","TOXICOLOGY","SCIE","41,356","10.9","Q1","2.38","99.27"%,
"ARCHIVES OF TOXICOLOGY","ARCH TOXICOL","SPRINGER HEIDELBERG","0340-5761","1432-0738","TOXICOLOGY","SCIE","19,139","10.9","Q1","1.49","48.75"%,
"Particle and Fibre Toxicology","PART FIBRE TOXICOL","BMC","1743-8977","1743-8977","TOXICOLOGY","SCIE","6,359","10.6","Q1","2.38","100"%,
"Reviews of Environmental Contamination and Toxicology","REV ENVIRON CONTAM T","SPRINGER","0179-5953","2197-6554","TOXICOLOGY","SCIE","3,300","8.3","Q1","0.92","8.43"%,
"ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","ECOTOX ENVIRON SAFE","ACADEMIC PRESS INC ELSEVIER SCIENCE","0147-6513","1090-2414","TOXICOLOGY","SCIE","80,594","6.6","Q1","1.37","99.94"%,
"MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH","MUTAT RES-REV MUTAT","ELSEVIER","1383-5742","1388-2139","TOXICOLOGY","SCIE","3,773","6.5","Q1","1.09","41.33"%,
"INFLAMMOPHARMACOLOGY","INFLAMMOPHARMACOLOGY","SPRINGER BASEL AG","0925-4692","1568-5608","TOXICOLOGY","SCIE","8,675","6.3","Q1","1.14","20.41"%,
